SendingTime,TargetCompID,SenderCompID,Symbol,Quantity,OrderID,TransactTime,StrikePrice,LastPx,MaturityDate,TradeReportID,TradeDate,CFICode,Sides.Side,Sides.OrderID,Sides.PartyIDs.PartyID,Sides.PartyIDs.PartyIDSource,Sides.PartyIDs.PartyRole
2020-5-18 下午05:20:51,MOMOES-COMPID,MDOC,ESM0,1,c772eb18-85d2-4cdd-aede-1749af6aa965,2020-5-18 下午05:20:52,2952.125,2951.125,2020-5-18 下午05:21:52,c772eb18-85d2-4cdd-aede-1749af6aa965-0,2020-5-18,MMMXXX,LONG,c772eb18-85d2-4cdd-aede-1749af6aa965,MOMOES,PROP CODE,INITIATING TRADER
2020-5-18 下午05:30:31,MOMOES-COMPID,MDOC,ESM0,1,8a45b4b9-381e-4681-bd13-33906ca2409c,2020-5-18 下午05:30:32,2954.375,2953.875,2020-5-18 下午05:31:32,8a45b4b9-381e-4681-bd13-33906ca2409c-0,2020-5-18,MMMXXX,LONG,8a45b4b9-381e-4681-bd13-33906ca2409c,MOMOES,PROP CODE,INITIATING TRADER
2020-5-18 下午05:41:37,MOMOES-COMPID,MDOC,ESM0,1,18532831-a9e1-4c9a-9340-7df5e70d0960,2020-5-18 下午05:41:38,2951.875,2952.375,2020-5-18 下午05:42:38,18532831-a9e1-4c9a-9340-7df5e70d0960-0,2020-5-18,MMMXXX,LONG,18532831-a9e1-4c9a-9340-7df5e70d0960,MOMOES,PROP CODE,INITIATING TRADER
2020-5-18 下午06:32:37,MOMOES-COMPID,MDOC,ESM0,1,15414ab8-4eca-4b7b-9b33-b6f0068acf96,2020-5-18 下午06:32:38,2955.125,2955.375,2020-5-18 下午06:33:38,15414ab8-4eca-4b7b-9b33-b6f0068acf96-0,2020-5-18,MMMXXX,LONG,15414ab8-4eca-4b7b-9b33-b6f0068acf96,MOMOES,PROP CODE,INITIATING TRADER
2020-5-18 下午06:44:11,MOMOES-COMPID,MDOC,ESM0,1,583b372d-23e9-47f4-92b2-29429f281275,2020-5-18 下午06:44:12,2956.875,2956.875,2020-5-18 下午06:45:12,583b372d-23e9-47f4-92b2-29429f281275-0,2020-5-18,MMMXXX,LONG,583b372d-23e9-47f4-92b2-29429f281275,MOMOES,PROP CODE,INITIATING TRADER
2020-5-18 下午07:02:20,MOMOES-COMPID,MDOC,ESM0,1,ed90c328-6481-42cf-a1e0-d0e7d9139992,2020-5-18 下午07:02:28,2956.375,2955.625,2020-5-18 下午07:03:28,ed90c328-6481-42cf-a1e0-d0e7d9139992-0,2020-5-18,MMMXXX,LONG,ed90c328-6481-42cf-a1e0-d0e7d9139992,MOMOES,PROP CODE,INITIATING TRADER
2020-5-18 下午07:11:43,MOMOES-COMPID,MDOC,ESM0,1,4d4da829-1262-43eb-b6ba-b88f3983138f,2020-5-18 下午07:11:44,2953.125,2954.125,2020-5-18 下午07:12:44,4d4da829-1262-43eb-b6ba-b88f3983138f-0,2020-5-18,MMMXXX,LONG,4d4da829-1262-43eb-b6ba-b88f3983138f,MOMOES,PROP CODE,INITIATING TRADER
2020-5-18 下午07:50:29,MOMOES-COMPID,MDOC,ESM0,1,e9b708bb-98fc-4e39-9205-22d3708f4f7c,2020-5-18 下午07:50:30,2959.125,2960.375,2020-5-18 下午07:51:30,e9b708bb-98fc-4e39-9205-22d3708f4f7c-0,2020-5-18,MMMXXX,LONG,e9b708bb-98fc-4e39-9205-22d3708f4f7c,MOMOES,PROP CODE,INITIATING TRADER
2020-5-18 下午08:20:40,MOMOES-COMPID,MDOC,ESM0,1,5ea3febb-b4f6-4777-93fa-821c68d6c561,2020-5-18 下午08:20:46,2948.25,2948.25,2020-5-18 下午08:21:46,5ea3febb-b4f6-4777-93fa-821c68d6c561-0,2020-5-18,MMMXXX,LONG,5ea3febb-b4f6-4777-93fa-821c68d6c561,MOMOES,PROP CODE,INITIATING TRADER
2020-5-18 下午08:41:11,MOMOES-COMPID,MDOC,ESM0,1,93f772ee-282b-4284-b438-dd31171465fb,2020-5-18 下午08:41:12,2945.625,2945.875,2020-5-18 下午08:42:12,93f772ee-282b-4284-b438-dd31171465fb-0,2020-5-18,MMMXXX,LONG,93f772ee-282b-4284-b438-dd31171465fb,MOMOES,PROP CODE,INITIATING TRADER
2020-5-18 下午08:55:27,MOMOES-COMPID,MDOC,ESM0,1,bdc28cf8-9c98-4bb0-989e-72404aee20ab,2020-5-18 下午08:55:28,2946.875,2947.125,2020-5-18 下午08:56:28,bdc28cf8-9c98-4bb0-989e-72404aee20ab-0,2020-5-18,MMMXXX,LONG,bdc28cf8-9c98-4bb0-989e-72404aee20ab,MOMOES,PROP CODE,INITIATING TRADER
2020-5-18 下午10:08:36,MOMOES-COMPID,MDOC,ESM0,1,cabf3021-e1f8-4c88-9a56-dc7a5adcf7e8,2020-5-18 下午10:08:43,2947.375,2946.875,2020-5-18 下午10:09:43,cabf3021-e1f8-4c88-9a56-dc7a5adcf7e8-0,2020-5-18,MMMXXX,LONG,cabf3021-e1f8-4c88-9a56-dc7a5adcf7e8,MOMOES,PROP CODE,INITIATING TRADER
2020-5-18 下午10:31:50,MOMOES-COMPID,MDOC,ESM0,1,9f1829f9-9b01-4021-9121-a1c5816dd4f1,2020-5-18 下午10:31:51,2948.875,2948.625,2020-5-18 下午10:32:51,9f1829f9-9b01-4021-9121-a1c5816dd4f1-0,2020-5-18,MMMXXX,LONG,9f1829f9-9b01-4021-9121-a1c5816dd4f1,MOMOES,PROP CODE,INITIATING TRADER
2020-5-18 下午10:36:59,MOMOES-COMPID,MDOC,ESM0,1,76a18328-5bb2-425a-8b6b-063e3906c312,2020-5-18 下午10:37:00,2951.625,2951.125,2020-5-18 下午10:38:00,76a18328-5bb2-425a-8b6b-063e3906c312-0,2020-5-18,MMMXXX,LONG,76a18328-5bb2-425a-8b6b-063e3906c312,MOMOES,PROP CODE,INITIATING TRADER
2020-5-18 下午10:47:33,MOMOES-COMPID,MDOC,ESM0,1,8dff0453-318e-4977-b058-1fa265890a1a,2020-5-18 下午10:47:39,2952.125,2951.625,2020-5-18 下午10:48:39,8dff0453-318e-4977-b058-1fa265890a1a-0,2020-5-18,MMMXXX,LONG,8dff0453-318e-4977-b058-1fa265890a1a,MOMOES,PROP CODE,INITIATING TRADER
2020-5-18 下午10:48:56,MOMOES-COMPID,MDOC,ESM0,1,2b2bddae-7cad-4f2f-a993-26d6400ab766,2020-5-18 下午10:48:57,2952.875,2952.125,2020-5-18 下午10:49:57,2b2bddae-7cad-4f2f-a993-26d6400ab766-0,2020-5-18,MMMXXX,LONG,2b2bddae-7cad-4f2f-a993-26d6400ab766,MOMOES,PROP CODE,INITIATING TRADER
2020-5-18 下午11:38:26,MOMOES-COMPID,MDOC,ESM0,1,f5032256-c46d-4e96-80cf-ef00c5b770e5,2020-5-18 下午11:38:27,2947.625,2948.125,2020-5-18 下午11:39:27,f5032256-c46d-4e96-80cf-ef00c5b770e5-0,2020-5-18,MMMXXX,LONG,f5032256-c46d-4e96-80cf-ef00c5b770e5,MOMOES,PROP CODE,INITIATING TRADER
2020-5-18 下午11:43:43,MOMOES-COMPID,MDOC,ESM0,1,bba211b1-c225-43f8-b82e-e8377a73964d,2020-5-18 下午11:43:48,2949.5,2949.625,2020-5-18 下午11:44:48,bba211b1-c225-43f8-b82e-e8377a73964d-0,2020-5-18,MMMXXX,LONG,bba211b1-c225-43f8-b82e-e8377a73964d,MOMOES,PROP CODE,INITIATING TRADER
2020-5-19 上午12:29:03,MOMOES-COMPID,MDOC,ESM0,1,d1ab83d8-97fe-4167-8499-98f817bedfeb,2020-5-19 上午12:29:04,2950.875,2950.625,2020-5-19 上午12:30:04,d1ab83d8-97fe-4167-8499-98f817bedfeb-0,2020-5-19,MMMXXX,LONG,d1ab83d8-97fe-4167-8499-98f817bedfeb,MOMOES,PROP CODE,INITIATING TRADER
2020-5-19 上午12:30:20,MOMOES-COMPID,MDOC,ESM0,1,9c84a79a-bdd5-453b-8a6b-52704111aed5,2020-5-19 上午12:30:21,2948.875,2950.375,2020-5-19 上午12:31:21,9c84a79a-bdd5-453b-8a6b-52704111aed5-0,2020-5-19,MMMXXX,LONG,9c84a79a-bdd5-453b-8a6b-52704111aed5,MOMOES,PROP CODE,INITIATING TRADER
2020-5-19 上午12:44:35,MOMOES-COMPID,MDOC,ESM0,1,d82d94ba-81fd-4fe4-baf1-b8ed2e0665ad,2020-5-19 上午12:44:39,2945.375,2945.625,2020-5-19 上午12:45:39,d82d94ba-81fd-4fe4-baf1-b8ed2e0665ad-0,2020-5-19,MMMXXX,LONG,d82d94ba-81fd-4fe4-baf1-b8ed2e0665ad,MOMOES,PROP CODE,INITIATING TRADER
2020-5-19 上午12:47:13,MOMOES-COMPID,MDOC,ESM0,1,24b7ee36-8ebc-40d1-80ee-0a40471d1e40,2020-5-19 上午12:47:20,2946.625,2945.875,2020-5-19 上午12:48:20,24b7ee36-8ebc-40d1-80ee-0a40471d1e40-0,2020-5-19,MMMXXX,LONG,24b7ee36-8ebc-40d1-80ee-0a40471d1e40,MOMOES,PROP CODE,INITIATING TRADER
2020-5-19 上午12:55:52,MOMOES-COMPID,MDOC,ESM0,1,58f69cb8-0891-4c73-b965-481131a98379,2020-5-19 上午12:55:53,2948.625,2948.125,2020-5-19 上午12:56:53,58f69cb8-0891-4c73-b965-481131a98379-0,2020-5-19,MMMXXX,LONG,58f69cb8-0891-4c73-b965-481131a98379,MOMOES,PROP CODE,INITIATING TRADER
2020-5-19 上午01:19:23,MOMOES-COMPID,MDOC,ESM0,1,2b40d646-5213-46c9-a047-123df518e223,2020-5-19 上午01:19:24,2945.875,2945.375,2020-5-19 上午01:20:24,2b40d646-5213-46c9-a047-123df518e223-0,2020-5-19,MMMXXX,LONG,2b40d646-5213-46c9-a047-123df518e223,MOMOES,PROP CODE,INITIATING TRADER
2020-5-19 上午01:20:40,MOMOES-COMPID,MDOC,ESM0,1,5d61d572-95d1-49fd-80b2-edd2146c86e7,2020-5-19 上午01:20:40,2944.625,2945.625,2020-5-19 上午01:21:40,5d61d572-95d1-49fd-80b2-edd2146c86e7-0,2020-5-19,MMMXXX,LONG,5d61d572-95d1-49fd-80b2-edd2146c86e7,MOMOES,PROP CODE,INITIATING TRADER
